,index,PRES,TMPK,DWPK,RELH,UWND,VWND,HGHT,TIME,LAT,LON,lat,lon,time,deltat,plev,u,v,error_era5,u_error,v_error,error_mag
21,21,622.0,278.55,261.55,28.16,-5.95,1.9,4150.71,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,617.5,-2.461105,-4.6082897,8.161601,-3.488894891738892,6.50828971862793,7.384458181017735
22,22,609.0,277.75,264.75,38.33,-5.68,1.58,4322.82,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,617.5,-2.461105,-4.6082897,8.161601,-3.2188948917388913,6.18828971862793,6.975400631199535
23,23,604.0,277.55,260.55,27.86,-5.57,1.46,4389.87,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,596.2999877929688,-3.0460856,-3.8621118,7.2248898,-2.5239144039154056,5.322111806869507,5.890247703035201
24,24,578.0,275.15,262.15,37.53,-4.94,0.88,4746.02,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,575.5,-3.3528578,-3.6673517,6.9092164,-1.5871421718597416,4.547351722717285,4.816370829140497
25,25,570.0,274.75,258.75,29.35,-4.72,0.72,4858.26,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,575.5,-3.3528578,-3.6673517,6.9092164,-1.367142171859741,4.387351722717285,4.595425209586997
26,26,565.0,274.35,261.35,37.29,-4.59,0.62,4929.1,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,555.2000122070312,-0.9774606,-3.124639,7.937678,-3.6125393772125243,3.7446390342712403,5.203149262600382
27,27,555.0,273.95,252.95,19.08,-4.31,0.44,5072.44,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,555.2000122070312,-0.9774606,-3.124639,7.937678,-3.332539377212524,3.56463903427124,4.879802264981875
28,28,523.0,269.85,254.85,30.33,-3.33,-0.02,5545.09,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,515.7000122070312,1.1850876,-1.6748893,7.8358803,-4.515087561607361,1.654889326095581,4.808812157966517
29,29,518.0,270.05,248.05,16.48,-3.17,-0.07,5620.98,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,515.7000122070312,1.1850876,-1.6748893,7.8358803,-4.355087561607361,1.604889326095581,4.64138529086766
30,30,500.0,269.25,243.25,11.24,-2.56,-0.22,5900.0,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,496.6000061035156,-0.4801798,-2.9209433,6.5189543,-2.079820213317871,2.700943260192871,3.4089216204698647
31,31,499.0,269.25,243.25,11.24,-2.6,-0.24,5915.81,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,496.6000061035156,-0.4801798,-2.9209433,6.5189543,-2.119820213317871,2.680943260192871,3.4177616214658104
32,32,490.0,267.85,246.85,17.44,-2.92,-0.4,6059.2,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,496.6000061035156,-0.4801798,-2.9209433,6.5189543,-2.439820213317871,2.520943260192871,3.5082584845513196
33,33,452.0,263.45,231.45,5.4,-4.2,-1.41,6688.22,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,459.70001220703125,-1.1908414,-5.885549,5.7423043,-3.009158563613892,4.475549068450928,5.393104368087344
34,34,435.0,260.65,244.65,25.0,-4.71,-2.07,6982.88,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,441.8999938964844,-4.398266,-7.586538,5.462199,-0.3117341613769531,5.5165378379821775,5.525338714075225
35,35,424.0,259.85,218.85,1.74,-4.99,-2.56,7178.39,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,424.5,-3.5866234,-8.120211,2.986064,-1.403376569747925,5.560210647583007,5.734580040596948
36,36,400.0,257.05,224.05,4.03,-5.48,-3.84,7620.0,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,407.5,-0.6922917,0.432534,6.303662,-4.787708323001862,-4.272534009218216,6.416907186960676
37,37,360.0,252.25,209.25,0.98,-6.48,-3.67,8404.49,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,359.0,2.1683664,-0.539581,14.16512,-8.648366432189942,-3.130418999195099,9.197486888055423
38,38,306.0,242.45,207.45,1.87,-8.03,-3.09,9579.85,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,300.0,25.661764,-41.223797,46.54981,-33.69176414489746,38.13379684448242,50.88537543314047
39,39,300.0,241.65,220.65,10.74,-8.22,-2.99,9720.0,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,300.0,25.661764,-41.223797,46.54981,-33.88176414489746,38.23379684448242,51.08617388996374
40,40,297.0,241.05,222.05,13.4,-8.21,-1.83,9791.34,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,300.0,25.661764,-41.223797,46.54981,-33.87176414489746,39.393796844482424,51.9535141844314
41,41,283.0,237.85,220.85,15.92,-6.23,2.67,10131.41,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,286.29998779296875,25.340511,13.987407,32.89796,-31.570511322021485,-11.317406730651856,33.53775305891691
42,42,257.0,234.25,208.25,4.68,0.28,3.49,10800.48,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,260.0,16.321466,13.67181,19.017422,-16.04146644592285,-10.181810150146484,18.999944833322402
43,43,250.0,232.45,205.45,3.84,1.09,2.33,10990.0,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,247.39999389648438,12.887935,11.391355,14.895781,-11.797934684753418,-9.06135456085205,14.87613556348496
44,44,200.0,218.25,205.25,18.47,1.94,5.32,12460.0,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,201.0,13.722554,11.641923,17.2712,-11.782554206848145,-6.321922950744629,13.371435728165716
45,45,196.0,217.25,204.25,18.13,2.19,5.22,12588.57,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,201.0,13.722554,11.641923,17.2712,-11.532554206848145,-6.421922950744629,13.200034125682837
46,46,186.0,214.85,203.85,23.06,2.84,4.9,12919.22,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,190.3000030517578,11.890495,10.305562,15.004788,-9.050495300292969,-5.405562019348144,10.541895746289862
47,47,175.0,211.85,196.85,12.02,3.53,4.43,13299.33,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,170.10000610351562,6.1759014,7.697045,7.7029076,-2.6459014129638674,-3.2670448493957522,4.204090428985502
48,48,157.0,207.65,188.65,5.57,4.56,3.35,13964.67,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,160.5,3.2876925,6.435007,5.937213,1.2723074531555172,-3.085007095336914,3.337069827503491
49,49,150.0,205.45,187.45,6.13,4.9,2.83,14240.0,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,151.3000030517578,6.626846,6.133271,5.939157,-1.726845836639404,-3.3032712173461913,3.7274116057750626
50,50,129.0,198.05,186.05,14.08,3.4,3.18,15131.29,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,125.5999984741211,19.925486,2.005256,19.677122,-16.525485610961915,1.1747440624237062,16.56718739829755
51,51,119.0,194.85,182.85,13.0,2.65,3.16,15595.6,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,117.80000305175781,5.5467324,-1.6729246,5.447535,-2.8967324256896974,4.832924637794495,5.6345558210601805
52,52,117.0,196.25,184.25,13.47,3.34,2.82,15692.68,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,117.80000305175781,5.5467324,-1.6729246,5.447535,-2.2067324256896974,4.492924637794495,5.005600843004877
53,53,115.0,197.05,185.05,13.74,3.99,2.34,15792.0,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,117.80000305175781,5.5467324,-1.6729246,5.447535,-1.556732425689697,4.0129246377944945,4.304297851428477
54,54,109.0,196.25,183.25,11.24,5.42,-0.04,16100.65,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,110.19999694824219,7.7523713,-0.5058542,3.4169428,-2.332371311187744,0.46585418939590456,2.3784398371683384
55,55,108.0,197.65,184.65,11.67,5.52,-0.56,16153.82,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,110.19999694824219,7.7523713,-0.5058542,3.4169428,-2.2323713111877446,-0.05414581060409551,2.2330278636461447
56,56,106.0,197.05,184.05,11.49,5.59,-1.66,16261.87,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,103.0,3.2142777,-3.1437054,4.23154,2.375722255706787,1.4837053680419923,2.800970877288296
57,57,103.0,197.85,184.85,11.73,5.24,-3.41,16427.92,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,103.0,3.2142777,-3.1437054,4.23154,2.0257222557067873,-0.26629463195800795,2.0431503831767857
58,58,101.0,199.25,185.25,10.2,4.68,-4.57,16541.96,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,103.0,3.2142777,-3.1437054,4.23154,1.4657222557067868,-1.426294631958008,2.0451547882804424
59,59,100.0,199.05,185.05,10.14,4.3,-5.12,16600.0,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,103.0,3.2142777,-3.1437054,4.23154,1.085722255706787,-1.976294631958008,2.2548909705001416
60,60,70.0,200.25,180.25,3.51,4.73,3.97,18670.0,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,103.0,3.2142777,-3.1437054,4.23154,1.5157222557067875,7.113705368041993,7.273391094926378
61,61,50.0,212.45,181.45,0.82,-10.94,2.93,20710.0,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,103.0,3.2142777,-3.1437054,4.23154,-14.154277744293212,6.073705368041992,15.402385378907264
62,62,30.0,216.45,184.45,0.86,-0.45,-2.53,23890.0,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,103.0,3.2142777,-3.1437054,4.23154,-3.664277744293213,0.6137053680419924,3.715315015726946
63,63,20.0,223.25,189.25,0.88,-0.93,3.48,26510.0,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,103.0,3.2142777,-3.1437054,4.23154,-4.144277744293213,6.623705368041993,7.813354646019362
64,64,10.0,230.05,194.05,0.91,6.53,-3.05,31100.0,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,103.0,3.2142777,-3.1437054,4.23154,3.3157222557067874,0.09370536804199237,3.317046091477957
0,0,1015.0,286.55,282.25,75.19,2.31,4.01,18.0,2020-07-07 12:00:00,54.5,-6.34,54.5,-6.5,2020-07-07 01:55:12,0 days 10:04:48,878.5999755859375,-0.23425537,-1.0901796,8.416169,2.544255373477936,5.100179562568664,5.699567262162492
1,1,1011.0,285.15,280.85,74.96,1.54,4.08,51.52,2020-07-07 12:00:00,54.5,-6.34,54.5,-6.5,2020-07-07 01:55:12,0 days 10:04:48,878.5999755859375,-0.23425537,-1.0901796,8.416169,1.7742553734779358,5.170179562568665,5.466144787646778
2,2,1009.0,284.95,280.15,72.4,1.17,4.06,68.28,2020-07-07 12:00:00,54.5,-6.34,54.5,-6.5,2020-07-07 01:55:12,0 days 10:04:48,878.5999755859375,-0.23425537,-1.0901796,8.416169,1.4042553734779357,5.150179562568664,5.3381909558053104
3,3,1000.0,284.35,280.25,75.85,-0.31,3.59,144.0,2020-07-07 12:00:00,54.5,-6.34,54.5,-6.5,2020-07-07 01:55:12,0 days 10:04:48,878.5999755859375,-0.23425537,-1.0901796,8.416169,-0.0757446265220642,4.680179562568664,4.680792452815269
4,4,985.0,282.95,280.65,85.59,-0.55,4.29,270.11,2020-07-07 12:00:00,54.5,-6.34,54.5,-6.5,2020-07-07 01:55:12,0 days 10:04:48,878.5999755859375,-0.23425537,-1.0901796,8.416169,-0.31574462652206425,5.380179562568665,5.389436593435264
5,5,968.0,281.75,279.55,86.05,-0.89,5.07,414.7,2020-07-07 12:00:00,54.5,-6.34,54.5,-6.5,2020-07-07 01:55:12,0 days 10:04:48,878.5999755859375,-0.23425537,-1.0901796,8.416169,-0.6557446265220642,6.160179562568665,6.194982910250942
6,6,959.0,280.95,279.95,93.39,-0.62,5.11,492.01,2020-07-07 12:00:00,54.5,-6.34,54.5,-6.5,2020-07-07 01:55:12,0 days 10:04:48,878.5999755859375,-0.23425537,-1.0901796,8.416169,-0.3857446265220642,6.200179562568665,6.212167538386646
7,7,940.0,279.55,279.35,98.63,-0.03,5.15,656.97,2020-07-07 12:00:00,54.5,-6.34,54.5,-6.5,2020-07-07 01:55:12,0 days 10:04:48,878.5999755859375,-0.23425537,-1.0901796,8.416169,0.2042553734779358,6.240179562568665,6.243521540820875
8,8,931.0,278.95,278.95,100.0,0.26,5.14,735.99,2020-07-07 12:00:00,54.5,-6.34,54.5,-6.5,2020-07-07 01:55:12,0 days 10:04:48,878.5999755859375,-0.23425537,-1.0901796,8.416169,0.4942553734779358,6.230179562568664,6.249754055645717
9,9,925.0,278.55,278.55,100.0,0.45,5.13,789.0,2020-07-07 12:00:00,54.5,-6.34,54.5,-6.5,2020-07-07 01:55:12,0 days 10:04:48,878.5999755859375,-0.23425537,-1.0901796,8.416169,0.6842553734779357,6.2201795625686644,6.257702390393005
10,10,905.0,277.49,277.49,100.0,1.76,4.84,966.63,2020-07-07 12:00:00,54.5,-6.34,54.5,-6.5,2020-07-07 01:55:12,0 days 10:04:48,878.5999755859375,-0.23425537,-1.0901796,8.416169,1.9942553734779358,5.930179562568664,6.2565233268127995
11,11,898.0,277.11,277.11,100.0,1.46,5.47,1029.73,2020-07-07 12:00:00,54.5,-6.34,54.5,-6.5,2020-07-07 01:55:12,0 days 10:04:48,878.5999755859375,-0.23425537,-1.0901796,8.416169,1.6942553734779358,6.560179562568664,6.775430404313991
12,12,893.0,276.84,276.84,100.0,1.6,5.97,1075.11,2020-07-07 12:00:00,54.5,-6.34,54.5,-6.5,2020-07-07 01:55:12,0 days 10:04:48,878.5999755859375,-0.23425537,-1.0901796,8.416169,1.8342553734779359,7.060179562568664,7.294561551652364
13,13,885.0,276.4,276.4,100.0,2.57,4.46,1148.23,2020-07-07 12:00:00,54.5,-6.34,54.5,-6.5,2020-07-07 01:55:12,0 days 10:04:48,878.5999755859375,-0.23425537,-1.0901796,8.416169,2.8042553734779356,5.5501795625686645,6.2183873614012475
14,14,852.0,274.55,274.55,100.0,3.6,0.82,1457.05,2020-07-07 12:00:00,54.5,-6.34,54.5,-6.5,2020-07-07 01:55:12,0 days 10:04:48,852.7999877929688,1.2287979,-2.26371,7.4442153,2.371202087402344,3.083710021972656,3.8899700305935307
15,15,850.0,274.55,274.45,99.28,3.55,0.63,1476.0,2020-07-07 12:00:00,54.5,-6.34,54.5,-6.5,2020-07-07 01:55:12,0 days 10:04:48,852.7999877929688,1.2287979,-2.26371,7.4442153,2.3212020874023436,2.893710021972656,3.7096545421138596
16,16,838.0,274.18,273.71,96.68,3.08,0.27,1590.5,2020-07-07 12:00:00,54.5,-6.34,54.5,-6.5,2020-07-07 01:55:12,0 days 10:04:48,827.4000244140625,1.5927564,-5.2373204,9.790429,1.4872436094284058,5.50732042312622,5.7046009322974385
17,17,837.0,274.15,273.65,96.46,3.17,0.25,1600.12,2020-07-07 12:00:00,54.5,-6.34,54.5,-6.5,2020-07-07 01:55:12,0 days 10:04:48,827.4000244140625,1.5927564,-5.2373204,9.790429,1.5772436094284057,5.487320423126221,5.7094993501655535
18,18,816.0,273.36,273.04,97.64,5.13,-0.45,1803.71,2020-07-07 12:00:00,54.5,-6.34,54.5,-6.5,2020-07-07 01:55:12,0 days 10:04:48,827.4000244140625,1.5927564,-5.2373204,9.790429,3.5372436094284057,4.7873204231262205,5.952354927767959
19,19,777.0,271.85,271.85,100.0,9.15,-0.8,2196.11,2020-07-07 12:00:00,54.5,-6.34,54.5,-6.5,2020-07-07 01:55:12,0 days 10:04:48,777.7999877929688,5.104286,-4.4361978,8.631336,4.045713806152344,3.6361977577209474,5.439644688262877
20,20,773.0,272.45,271.55,93.62,9.57,-0.84,2237.33,2020-07-07 12:00:00,54.5,-6.34,54.5,-6.5,2020-07-07 01:55:12,0 days 10:04:48,777.7999877929688,5.104286,-4.4361978,8.631336,4.465713806152344,3.5961977577209474,5.733693234826644
21,21,766.0,272.65,272.05,95.71,10.32,-0.9,2310.09,2020-07-07 12:00:00,54.5,-6.34,54.5,-6.5,2020-07-07 01:55:12,0 days 10:04:48,777.7999877929688,5.104286,-4.4361978,8.631336,5.215713806152344,3.5361977577209474,6.3014573782101255
22,22,743.0,272.14,271.79,97.5,12.82,-1.12,2553.52,2020-07-07 12:00:00,54.5,-6.34,54.5,-6.5,2020-07-07 01:55:12,0 days 10:04:48,753.5999755859375,6.308064,-4.160815,8.420031,6.511936016082764,3.0408147621154784,7.186923200859688
23,23,713.0,271.45,271.45,100.0,14.4,-3.13,2882.61,2020-07-07 12:00:00,54.5,-6.34,54.5,-6.5,2020-07-07 01:55:12,0 days 10:04:48,706.5999755859375,9.578399,-3.220926,5.4292264,4.821601295471192,0.09092604637146007,4.82245856367872
24,24,702.0,270.77,270.77,100.0,14.91,-4.0,3006.3,2020-07-07 12:00:00,54.5,-6.34,54.5,-6.5,2020-07-07 01:55:12,0 days 10:04:48,706.5999755859375,9.578399,-3.220926,5.4292264,5.3316012954711915,-0.77907395362854,5.388221283419278
25,25,700.0,270.65,270.65,100.0,14.91,-4.0,3029.0,2020-07-07 12:00:00,54.5,-6.34,54.5,-6.5,2020-07-07 01:55:12,0 days 10:04:48,706.5999755859375,9.578399,-3.220926,5.4292264,5.3316012954711915,-0.77907395362854,5.388221283419278
26,26,688.0,269.91,269.91,100.0,13.92,-3.73,3165.76,2020-07-07 12:00:00,54.5,-6.34,54.5,-6.5,2020-07-07 01:55:12,0 days 10:04:48,683.7000122070312,11.330551,-2.6916466,4.7959905,2.5894488525390624,-1.0383534240722656,2.7898787058218977
27,27,665.0,268.45,268.45,100.0,14.18,-2.55,3434.69,2020-07-07 12:00:00,54.5,-6.34,54.5,-6.5,2020-07-07 01:55:12,0 days 10:04:48,661.2000122070312,11.287092,-0.96059906,1.7525555,2.892907791137695,-1.5894009351730345,3.3007742759470986
28,28,664.0,268.39,268.25,98.93,14.19,-2.5,3446.53,2020-07-07 12:00:00,54.5,-6.34,54.5,-6.5,2020-07-07 01:55:12,0 days 10:04:48,661.2000122070312,11.287092,-0.96059906,1.7525555,2.902907791137695,-1.5394009351730347,3.285822405891643
29,29,658.0,268.05,267.05,92.68,16.61,-2.93,3517.96,2020-07-07 12:00:00,54.5,-6.34,54.5,-6.5,2020-07-07 01:55:12,0 days 10:04:48,661.2000122070312,11.287092,-0.96059906,1.7525555,5.322907791137695,-1.9694009351730348,5.675551726168549
30,30,655.0,268.05,265.65,83.23,17.83,-3.14,3553.88,2020-07-07 12:00:00,54.5,-6.34,54.5,-6.5,2020-07-07 01:55:12,0 days 10:04:48,661.2000122070312,11.287092,-0.96059906,1.7525555,6.542907791137694,-2.179400935173035,6.8963345916191905
31,31,649.0,268.45,260.45,53.55,20.29,-3.58,3626.25,2020-07-07 12:00:00,54.5,-6.34,54.5,-6.5,2020-07-07 01:55:12,0 days 10:04:48,639.0999755859375,8.155476,2.0967813,3.7918072,12.134524383544921,-5.676781253814697,13.396735700106507
32,32,643.0,268.85,255.85,35.57,22.77,-4.02,3699.36,2020-07-07 12:00:00,54.5,-6.34,54.5,-6.5,2020-07-07 01:55:12,0 days 10:04:48,639.0999755859375,8.155476,2.0967813,3.7918072,14.614524383544921,-6.116781253814697,15.842958557802516
